epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,432.774,0.92545,1.11064,1.05024,0.64024,0.73333,0.6675,0.55812,0.78816,1.20091,0.80777,0.0010892,0.0010892,0.0010892
48,441.956,0.87033,1.01759,1.0275,0.67926,0.70594,0.67358,0.55366,0.82607,1.17511,0.79193,0.0010694,0.0010694,0.0010694
49,450.936,0.87028,1.01141,1.03467,0.68167,0.71515,0.67302,0.55681,0.83062,1.18141,0.79285,0.0010496,0.0010496,0.0010496
50,459.985,0.85208,1.00537,1.025,0.7055,0.69091,0.68692,0.57699,0.8315,1.22635,0.83093,0.0010298,0.0010298,0.0010298
51,468.991,0.85396,0.99252,1.02278,0.71955,0.69091,0.64002,0.50336,0.96593,1.35793,0.8383,0.00101,0.00101,0.00101
52,477.974,0.87507,0.96765,1.0178,0.66368,0.70909,0.67957,0.54058,0.87104,1.17753,0.78904,0.0009902,0.0009902,0.0009902
53,487.039,0.87767,1.0256,1.02121,0.7166,0.6743,0.69438,0.55433,0.86899,1.18581,0.78148,0.0009704,0.0009704,0.0009704
54,496.052,0.78113,0.93928,0.99338,0.71393,0.68065,0.66003,0.53716,0.83963,1.21202,0.77663,0.0009506,0.0009506,0.0009506
55,505.038,0.80447,0.93305,1.01278,0.68429,0.64848,0.66873,0.55445,0.77686,1.23873,0.76299,0.0009308,0.0009308,0.0009308
56,514.155,0.86168,0.94591,1.01318,0.76987,0.64242,0.68238,0.56284,0.83147,1.17144,0.8063,0.000911,0.000911,0.000911
57,523.252,0.79403,0.96757,0.99799,0.72132,0.65886,0.67644,0.54947,0.80556,1.17171,0.7862,0.0008912,0.0008912,0.0008912
58,532.216,0.80852,0.93876,1.01094,0.7001,0.70742,0.67951,0.55379,0.84358,1.24794,0.78623,0.0008714,0.0008714,0.0008714
59,541.182,0.83551,0.94733,1.01673,0.76513,0.64848,0.68288,0.54481,0.84836,1.15634,0.76495,0.0008516,0.0008516,0.0008516
60,550.177,0.80068,0.94568,1.00946,0.73566,0.69153,0.69703,0.59966,0.73839,1.12143,0.73445,0.0008318,0.0008318,0.0008318
61,559.289,0.81186,0.92258,1.00187,0.76027,0.68485,0.7072,0.57224,0.82079,1.14427,0.76461,0.000812,0.000812,0.000812
62,568.226,0.7896,0.90788,1.00852,0.76219,0.65455,0.69044,0.5849,0.77478,1.14143,0.77271,0.0007922,0.0007922,0.0007922
63,577.166,0.79628,0.95221,1.00953,0.74838,0.64848,0.68706,0.56283,0.80669,1.19542,0.76175,0.0007724,0.0007724,0.0007724
64,586.102,0.78677,0.87503,0.99573,0.72963,0.66061,0.6779,0.56365,0.84137,1.24269,0.80971,0.0007526,0.0007526,0.0007526
65,595.093,0.77098,0.9015,1.00259,0.71601,0.67273,0.69736,0.57873,0.8073,1.17379,0.75664,0.0007328,0.0007328,0.0007328
66,604.028,0.77464,0.8745,1.002,0.75559,0.68485,0.69308,0.5697,0.8194,1.09515,0.74368,0.000713,0.000713,0.000713
67,612.962,0.73221,0.88992,0.99244,0.68291,0.6303,0.6385,0.49306,0.90445,1.17581,0.77059,0.0006932,0.0006932,0.0006932
68,621.939,0.77243,0.88401,0.99866,0.77564,0.67049,0.68331,0.53473,0.89947,1.25345,0.76069,0.0006734,0.0006734,0.0006734
69,630.936,0.74329,0.84704,0.98301,0.7047,0.69697,0.66598,0.56391,0.73362,1.19633,0.73781,0.0006536,0.0006536,0.0006536
70,639.929,0.75481,0.87257,0.99159,0.76738,0.65977,0.67837,0.55602,0.83125,1.26609,0.76757,0.0006338,0.0006338,0.0006338
71,648.908,0.70705,0.83351,0.97832,0.72795,0.66489,0.68152,0.53331,0.91727,1.21685,0.79007,0.000614,0.000614,0.000614
72,657.834,0.74084,0.82135,0.98157,0.72249,0.64848,0.65234,0.54575,0.78212,1.24438,0.74575,0.0005942,0.0005942,0.0005942
73,666.811,0.72501,0.83974,0.98185,0.67591,0.5697,0.6368,0.52705,0.79673,1.33219,0.78216,0.0005744,0.0005744,0.0005744
74,675.83,0.69853,0.83581,0.97835,0.68799,0.64242,0.66849,0.56291,0.73243,1.15027,0.73468,0.0005546,0.0005546,0.0005546
75,684.909,0.69962,0.78828,0.9724,0.76891,0.68485,0.66666,0.57141,0.7055,1.20305,0.72459,0.0005348,0.0005348,0.0005348
